scenario_id,time_id,generator_name,demand,previous_demand,next_demand,total_wind_generation_capacity,previous_wind_generation_capacity,next_wind_generation_capacity,residual_demand,previous_residual_demand,next_residual_demand,total_demand_over_horizon,total_wind_over_horizon,total_residual_over_horizon,target_bid_W2_B1
0,0,W2,91.83545588576386,92.48470737142058,97.67333980831769,42.80907658337509,44.647665575622966,42.42177199174374,49.026379302388776,47.83704179579762,55.25156781657395,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,1,W2,97.67333980831769,91.83545588576386,110.20078788523983,42.42177199174374,42.80907658337509,47.560177641281754,55.25156781657395,49.026379302388776,62.64061024395808,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,2,W2,110.20078788523983,97.67333980831769,103.92689911355049,47.560177641281754,42.42177199174374,51.64211453593704,62.64061024395808,55.25156781657395,52.28478457761345,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,3,W2,103.92689911355049,110.20078788523983,115.48214472950917,51.64211453593704,47.560177641281754,52.89146549474669,52.28478457761345,62.64061024395808,62.59067923476248,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,4,W2,115.48214472950917,103.92689911355049,113.63887194765967,52.89146549474669,51.64211453593704,54.246822068097984,62.59067923476248,52.28478457761345,59.39204987956168,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,5,W2,113.63887194765967,115.48214472950917,96.36106153977602,54.246822068097984,52.89146549474669,49.44849265301492,59.39204987956168,62.59067923476248,46.9125688867611,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,6,W2,96.36106153977602,113.63887194765967,92.48470737142058,49.44849265301492,54.246822068097984,44.647665575622966,46.9125688867611,59.39204987956168,47.83704179579762,821.6032682812373,385.66758654382016,435.93568173741716,0.29
0,7,W2,92.48470737142058,96.36106153977602,91.83545588576386,44.647665575622966,49.44849265301492,42.80907658337509,47.83704179579762,46.9125688867611,49.026379302388776,821.6032682812373,385.66758654382016,435.93568173741716,0.29
1,0,W2,88.95136618784102,89.2236303255201,93.8570379298313,39.30585309065462,38.267218345360895,39.04520652778841,49.645513097186395,50.95641198015921,54.811831402042884,798.9342224783242,338.4926211622923,460.44160131603184,0.29
1,1,W2,93.8570379298313,88.95136618784102,108.8490647607689,39.04520652778841,39.30585309065462,39.42124981972995,54.811831402042884,49.645513097186395,69.42781494103895,798.9342224783242,338.4926211622923,460.44160131603184,0.29
1,2,W2,108.8490647607689,93.8570379298313,100.55921981804981,39.42124981972995,39.04520652778841,42.692010198490564,69.42781494103895,54.811831402042884,57.86720961955925,798.9342224783242,338.4926211622923,460.44160131603184,0.29
