generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 8]",2,12,"[0.00014433119473882718, 7.604807329678847e-05, 0.0001585796013226439]",0.00012631962311941984,3.6020140789299345e-05,347.3333333333333,3,valid,
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[0.00011088983769591532, 8.161767462553087e-05, 6.75013370621044e-05]",8.666961646118353e-05,1.806990285983235e-05,165.66666666666666,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[1.344175021374178, 0.6912048777673178, 0.6046454601259117]",0.8800084530891358,0.3301121885367048,498.6666666666667,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 8]",2,16,"[1.0590392545073808, 0.7390031909157416, 0.582087359401906]",0.7933766016083429,0.19847439533255612,495.0,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[11, 11]",2,22,"[1.09390032402948, 0.7628995067702082, 0.5938180218858412]",0.8168726175618432,0.20769432626773893,495.0,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 4]",2,12,"[1.1982537032422904, 0.8055550332316858, 0.7138094510658678]",0.905872729179948,0.21010995289287518,495.6666666666667,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 8]",2,12,"[6.1544506230991995, 0.9101363109971234, 0.7131312973400394]",2.592572743812121,2.5199118058730376,496.6666666666667,3,valid,
W3,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4, 4]",3,12,"[1.001759703882678, 1.01540764047952, 0.7655854714098368]",0.9275842719240116,0.1146858755306901,494.0,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4]",2,8,"[0.9461691234699504, 0.5693166787752848, 0.5483678769664848]",0.6879512264039066,0.182787809309435,496.3333333333333,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 8]",2,16,"[0.617365373294808, 5.208029374866904, 0.39153577602561]",2.0723101747291075,2.219204200959631,496.0,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[11, 11]",2,22,"[0.6603847334975611, 0.23737193006806506, 0.36859002451738015]",0.4221155626943354,0.1767930907288138,493.6666666666667,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 4]",2,12,"[0.7802989523329896, 0.3085757880666834, 0.4202606290295314]",0.5030451231430682,0.20128030252292411,496.0,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 8]",2,12,"[1.0276888621721916, 0.5003122282688489, 0.43060147145506306]",0.6528675206320346,0.2665622828525696,497.6666666666667,3,valid,
W3,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4, 4]",3,12,"[0.6428452930013517, 0.22668040681305873, 0.2667927153639634]",0.37877280505945793,0.1874441401061251,498.6666666666667,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4]",2,8,"[0.6876627382099212, 0.9784762139270405, 6.61555863575763]",2.7605658626315304,2.728475774745002,370.0,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 8]",2,16,"[0.42773549280923134, 0.2762016515531475, 0.3686761790070131]",0.357537774456464,0.06236277898129499,491.3333333333333,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[11, 11]",2,22,"[0.7031210714099769, 0.2862576730790996, 0.27481451155580433]",0.42139775201496027,0.19926323963478054,495.3333333333333,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 4]",2,12,"[1.259837495828579, 0.7194693097454345, 0.45864055116836683]",0.8126491189141268,0.33365750269875066,497.0,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 8]",2,12,"[0.7033606432378292, 0.6501071767030124, 6.616954299819517]",2.656807373253453,2.8003311402900763,368.3333333333333,3,valid,
W3,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[18.993472478108966, 0.3540618914741132, 17.31848652966051]",12.222006966414531,8.41971831311186,199.0,3,valid,
