generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
G1,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4, 4]",3,12,"[0.8622443301235131, 1.4292935589979032, 48.688733326862135]",16.993423738661182,22.41316389425225,498.0,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4]",2,8,"[8.636118192731816e-06, 1.5637768188833274e-05, 1.9416580959063664e-05]",1.4563489113542919e-05,4.4661803973695355e-06,498.6666666666667,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 8]",2,16,"[3.3315579007186003e-07, 3.7690186641674575e-07, 1.4922724381816456e-06]",7.341100315567505e-07,5.363991709621563e-07,296.0,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[11, 11]",2,22,"[7.023545397110256e-06, 1.8761042321454375e-06, 3.350273820695614e-06]",4.083307816650436e-06,2.1644155124979604e-06,367.6666666666667,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 4]",2,12,"[5.715498665737838e-06, 51.50457268751072, 2.78776841619822e-06]",17.16819373025927,24.279486402063608,466.3333333333333,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 8]",2,12,"[9.992575922445825e-07, 6.037960006663528e-07, 2.8914681199940866e-06]",1.498173904301674e-06,9.983483180449757e-07,418.3333333333333,3,valid,
G2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4, 4]",3,12,"[9.400625178038141e-07, 1.0309482779680158e-06, 1.8269048747337746e-07]",7.179004277484023e-07,3.802650965463024e-07,223.66666666666666,3,valid,
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4]",2,8,"[2.816594262324719e-08, 53.31557927540914, 47.532230377197266]",33.615936560257445,23.887028178725167,421.0,3,valid,
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 8]",2,16,"[7.883316365207098e-07, 7.880055912930779e-07, 3.0881972225143546e-07]",6.283856500217411e-07,2.259672737664236e-07,229.33333333333334,3,valid,
G2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[11, 11]",2,22,"[1.153689628996424e-06, 1.097399527151685e-06, 3.705937580157096e-05]",1.310348831923969e-05,1.693938607591744e-05,263.0,3,valid,
