scenario_id,time_id,generator_name,demand,previous_demand,next_demand,total_wind_generation_capacity,previous_wind_generation_capacity,next_wind_generation_capacity,residual_demand,previous_residual_demand,next_residual_demand,total_demand_over_horizon,total_wind_over_horizon,total_residual_over_horizon,target_bid_W1_B1
0,0,W1,0.36784369194356326,0.37555994398735115,0.4372260264379355,0.14663348125142295,0.16363041650999802,0.1430530230320694,0.6773333516616356,0.6696828910765652,0.7173771231718009,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,1,W1,0.4372260264379355,0.36784369194356326,0.5861127813588284,0.1430530230320694,0.14663348125142295,0.1905552916335553,0.7173771231718009,0.6773333516616356,0.7649074310439019,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,2,W1,0.5861127813588284,0.4372260264379355,0.511548597638743,0.1905552916335553,0.1430530230320694,0.2282909777605671,0.7649074310439019,0.7173771231718009,0.6982931725620461,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,3,W1,0.511548597638743,0.5861127813588284,0.6488808788431886,0.2282909777605671,0.1905552916335553,0.2398406701886524,0.6982931725620461,0.7649074310439019,0.7645862478509842,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,4,W1,0.6488808788431886,0.511548597638743,0.6269738710281535,0.2398406701886524,0.2282909777605671,0.2523703372467429,0.7645862478509842,0.6982931725620461,0.7440109379220553,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,5,W1,0.6269738710281535,0.6488808788431886,0.4216298051040546,0.2523703372467429,0.2398406701886524,0.208011921765439,0.7440109379220553,0.7645862478509842,0.6637361824985933,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,6,W1,0.4216298051040546,0.6269738710281535,0.37555994398735115,0.208011921765439,0.2523703372467429,0.16363041650999802,0.6637361824985933,0.7440109379220553,0.6696828910765652,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
0,7,W1,0.37555994398735115,0.4216298051040546,0.36784369194356326,0.16363041650999802,0.208011921765439,0.14663348125142295,0.6696828910765652,0.6637361824985933,0.6773333516616356,0.5439392636118714,0.18620451681526135,0.7421055327600812,0.28
1,0,W1,0.33356673837825174,0.3368025549381344,0.39186987736452045,0.11424774243043188,0.10464602742098836,0.11183818120000662,0.6813159543019578,0.6897483632519967,0.7145485012805832,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,1,W1,0.39186987736452045,0.33356673837825174,0.570047764100864,0.11183818120000662,0.11424774243043188,0.11531453372604747,0.7145485012805832,0.6813159543019578,0.808566393895118,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,2,W1,0.570047764100864,0.39186987736452045,0.4715242575782122,0.11531453372604747,0.11183818120000662,0.1455512547324852,0.808566393895118,0.7145485012805832,0.7342023425964836,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,3,W1,0.4715242575782122,0.570047764100864,0.6107734476900171,0.1455512547324852,0.11531453372604747,0.1838647097863928,0.7342023425964836,0.808566393895118,0.782910179635501,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,4,W1,0.6107734476900171,0.4715242575782122,0.5940418966400038,0.1838647097863928,0.1455512547324852,0.1947975614160902,0.782910179635501,0.7342023425964836,0.7662471233825636,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,5,W1,0.5940418966400038,0.6107734476900171,0.3977310069067851,0.1947975614160902,0.1838647097863928,0.16601459283633718,0.7662471233825636,0.782910179635501,0.6800237770759645,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,6,W1,0.3977310069067851,0.5940418966400038,0.3368025549381344,0.16601459283633718,0.1947975614160902,0.10464602742098836,0.6800237770759645,0.7662471233825636,0.6897483632519967,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
1,7,W1,0.3368025549381344,0.3977310069067851,0.33356673837825174,0.10464602742098836,0.16601459283633718,0.11424774243043188,0.6897483632519967,0.6800237770759645,0.6813159543019578,0.4931202267326578,0.11472691051200201,0.7665723797439168,0.28
2,0,W1,0.28880171645929825,0.25166133849703176,0.32403628568997284,0.07880877104190637,0.08649990658934163,0.08662925179302583,0.6817465045173836,0.6562930457249452,0.6953751826722024,0.3936699759038875,0.0836967994702128,0.7427280599628684,0.28
2,1,W1,0.32403628568997284,0.28880171645929825,0.4943144815943005,0.08662925179302583,0.07880877104190637,0.09729151513861084,0.6953751826722024,0.6817465045173836,0.7801173593931318,0.3936699759038875,0.0836967994702128,0.7427280599628684,0.28
