run_name,horizon,pieces,wall_time_seconds,solver_reported_time_seconds,num_binary_variables,num_binary_variables_free,num_binary_variables_fixed,num_continuous_variables,PoA_relaxed,ex_post_ratio,mccormick_gap,ex_post_fraction,termination_condition,mip_gap
P5,6,5,8.171046699979343,8.000999927520752,569,313,256,1229,7.1652502645353655,2.4454138770136518,4.719836387521713,0.3412879922865089,optimal,0.0
P10,6,10,8.760633800004143,8.625999927520752,574,318,256,1244,5.01214866644611,2.455022619663418,2.5571260467826917,0.4898144055659396,optimal,0.0
P20,6,20,10.84100730001228,10.585000038146973,584,328,256,1274,3.198844882156711,2.4990711038657785,0.6997737782909326,0.7812417281643447,optimal,0.0
P30,6,30,15.823639399983222,15.577000141143799,594,338,256,1304,2.97843556746911,2.636331733399516,0.3421038340695941,0.8851397566540972,optimal,0.0
P50,6,50,22.564615700015565,22.282999992370605,614,358,256,1364,2.819784701083855,2.637605311773962,0.18217938930989286,0.9353924470758822,optimal,0.0
P75,6,75,39.87638629999128,39.556999921798706,639,383,256,1439,2.7621412272331307,2.6402747087421696,0.12186651849096108,0.955879693156372,optimal,0.0
P100,6,100,48.334167900000466,48.020999908447266,664,408,256,1514,2.7210671909684807,2.6301187045416454,0.09094848642683528,0.9665761702876344,optimal,0.0
