scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,residual_demand,next_generation_capacity,next_demand,target_bid_W1_B1
0,0,W1,92.1722447207684,71.74481785070765,20.427426870060756,167.29070166050377,92.92662039003935,0.01
0,1,W1,92.92662039003935,67.29070166050379,25.63591872953556,169.08586900843906,88.72667628626273,0.01
0,2,W1,88.72667628626273,69.08586900843906,19.64080727782367,178.15957834560388,84.0842064589036,0.01
0,3,W1,84.0842064589036,78.15957834560388,5.924628113299718,175.9456854206019,96.591397589519,0.01
0,4,W1,96.591397589519,75.9456854206019,20.6457121689171,178.14995611958682,99.5420429531788,0.01
0,5,W1,99.5420429531788,78.14995611958682,21.392086833591975,172.6108897998638,99.87233873151659,0.01
0,6,W1,99.87233873151659,72.6108897998638,27.261448931652794,180.0393790550316,102.63465143167451,0.01
0,7,W1,102.63465143167451,80.0393790550316,22.59527237664291,185.50131970838555,100.7948139165012,0.01
0,8,W1,100.7948139165012,85.50131970838554,15.29349420811566,183.0247084869024,101.77138391693983,0.01
0,9,W1,101.77138391693983,83.0247084869024,18.746675430037428,184.11311188568118,98.82408456473581,0.01
0,10,W1,98.82408456473581,84.11311188568116,14.710972679054649,186.947694712119,98.83966510025033,0.01
0,11,W1,98.83966510025033,86.94769471211899,11.891970388131341,187.10785349506114,98.87184975880807,0.01
0,12,W1,98.87184975880807,87.10785349506114,11.763996263746932,195.6538102294929,105.97201452198581,0.01
0,13,W1,105.97201452198581,95.6538102294929,10.318204292492908,199.62756861344064,104.42073105407572,0.01
0,14,W1,104.42073105407572,99.62756861344066,4.793162440635058,201.2723339205858,108.52945330009459,0.01
0,15,W1,108.52945330009459,101.2723339205858,7.257119379508794,200.0980128574016,112.58038931237124,0.01
0,16,W1,112.58038931237124,100.09801285740161,12.482376454969625,189.42614327659638,99.97229918650156,0.01
0,17,W1,99.97229918650156,89.42614327659636,10.546155909905195,186.37772723380536,84.95820484339956,0.01
0,18,W1,84.95820484339956,86.37772723380537,-1.4195223904058167,181.59601255827928,86.60326563984685,0.01
0,19,W1,86.60326563984685,81.59601255827928,5.007253081567569,182.51414427679134,96.38096898384401,0.01
0,20,W1,96.38096898384401,82.51414427679133,13.866824707052686,178.58199299776965,88.68352475139069,0.01
0,21,W1,88.68352475139069,78.58199299776963,10.10153175362106,176.71557266261163,82.21792185584225,0.01
0,22,W1,82.21792185584225,76.71557266261163,5.502349193230614,174.33066293234506,85.64177425155137,0.01
0,23,W1,85.64177425155137,74.33066293234506,11.311111319206304,171.74481785070765,92.1722447207684,0.01
1,0,W1,103.73096550737264,74.69238635180717,29.038579155565472,173.09350252768004,104.77125946131397,0.01
1,1,W1,104.77125946131397,73.09350252768004,31.67775693363393,172.57983430871977,101.8372047217132,0.01
1,2,W1,101.8372047217132,72.57983430871977,29.25737041299344,173.61089896609624,112.76365773854484,0.01
1,3,W1,112.76365773854484,73.61089896609624,39.15275877244859,173.91214941282567,112.66672212868613,0.01
