scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,total_generation_capacity,residual_demand,previous_generation_capacity,previous_demand,next_generation_capacity,next_demand,own_generation_capacity,previous_own_generation_capacity,next_own_generation_capacity,target_bid_G2_B1,target_bid_G2_B2
0,0,G2,92.65150575826738,44.39628504534376,194.39628504534377,48.25522071292362,193.95539151814987,85.14709911983199,191.85678047611034,93.60685276728195,50.0,50.0,50.0,30.0,40.0
0,1,G2,93.60685276728195,41.856780476110345,191.85678047611034,51.750072291171605,194.39628504534377,92.65150575826738,195.53341236463794,92.7207887203088,50.0,50.0,50.0,49.99,49.99
0,2,G2,92.7207887203088,45.53341236463795,195.53341236463794,47.18737635567086,191.85678047611034,93.60685276728195,191.98904848975118,96.05743829963068,50.0,50.0,50.0,30.0,40.0
0,3,G2,96.05743829963068,41.989048489751184,191.98904848975118,54.06838980987949,195.53341236463794,92.7207887203088,194.1689181479772,99.89333896249862,50.0,50.0,50.0,49.99,49.99
0,4,G2,99.89333896249862,44.16891814797721,194.1689181479772,55.72442081452141,191.98904848975118,96.05743829963068,197.12381401655023,104.35405856071891,50.0,50.0,50.0,49.99,49.99
0,5,G2,104.35405856071891,47.123814016550234,197.12381401655023,57.23024454416868,194.1689181479772,99.89333896249862,194.41355599831826,107.72150919940471,50.0,50.0,50.0,49.99,49.99
0,6,G2,107.72150919940471,44.41355599831826,194.41355599831826,63.30795320108645,197.12381401655023,104.35405856071891,194.51467196535305,110.32688602031646,50.0,50.0,50.0,49.99,49.99
0,7,G2,110.32688602031646,44.51467196535303,194.51467196535305,65.81221405496343,194.41355599831826,107.72150919940471,196.6919862670008,106.6717896946195,50.0,50.0,50.0,49.99,49.99
0,8,G2,106.6717896946195,46.69198626700079,196.6919862670008,59.97980342761871,194.51467196535305,110.32688602031646,197.63924528318543,103.02216917137679,50.0,50.0,50.0,49.99,49.99
0,9,G2,103.02216917137679,47.639245283185424,197.63924528318543,55.382923888191364,196.6919862670008,106.6717896946195,198.05348411750882,99.39924567585562,50.0,50.0,50.0,49.99,49.99
0,10,G2,99.39924567585562,48.053484117508816,198.05348411750882,51.34576155834681,197.63924528318543,103.02216917137679,199.36247190316524,101.66634515060508,50.0,50.0,50.0,49.99,49.99
0,11,G2,101.66634515060508,49.36247190316524,199.36247190316524,52.30387324743984,198.05348411750882,99.39924567585562,201.04404920540773,105.35703928744908,50.0,50.0,50.0,49.99,49.99
0,12,G2,105.35703928744908,51.044049205407724,201.04404920540773,54.31299008204136,199.36247190316524,101.66634515060508,202.07525868613817,109.33958188157504,50.0,50.0,50.0,49.99,49.99
0,13,G2,109.33958188157504,52.07525868613818,202.07525868613817,57.264323195436866,201.04404920540773,105.35703928744908,204.46832237326836,110.81033909233278,50.0,50.0,50.0,49.99,49.99
0,14,G2,110.81033909233278,54.46832237326837,204.46832237326836,56.34201671906441,202.07525868613817,109.33958188157504,204.44344457139778,110.95274436634249,50.0,50.0,50.0,49.99,49.99
0,15,G2,110.95274436634249,54.44344457139776,204.44344457139778,56.509299794944724,204.46832237326836,110.81033909233278,201.36049171414223,108.8130288862966,50.0,50.0,50.0,49.99,49.99
0,16,G2,108.8130288862966,51.36049171414221,201.36049171414223,57.45253717215439,204.44344457139778,110.95274436634249,200.56766599521865,104.04789940532977,50.0,50.0,50.0,49.99,49.99
