eta,average_poa_difference,average_poa_ratio,worst_case_expected_poa,inner_objective,dro_objective_with_epsilon,average_wasserstein_distance,epsilon,num_time_steps,num_empirical_scenarios,solver_status,solver_termination_condition,source_dir,result_path
0.0,2546.9325519281483,2.8071409491478967,2.904803213679842,2.904803213679842,2.904803213679842,141.7165931900188,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0_T8_piecewise_mccormick.json
0.0031622776601683794,1942.2073581974007,2.706341169436067,2.8301119526337124,2.6426517208559046,2.645813998516073,59.280130312094755,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p0031622777_T8_piecewise_mccormick.json
0.005179474679231213,1990.3929760254728,2.6649072698653087,2.7827770646641583,2.537152207925911,2.542331682605142,47.422735306180726,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p0051794747_T8_piecewise_mccormick.json
0.008483428982440717,1805.535092508076,2.5860837301653774,2.702111544834789,2.396620330393777,2.405103759376218,36.01034617880667,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p008483429_T8_piecewise_mccormick.json
0.013894954943731374,1682.2030688855725,2.463359889213147,2.5714968602380015,2.245219774790887,2.2591147297346184,23.481694382486094,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p013894955_T8_piecewise_mccormick.json
0.022758459260747887,1615.0850000376818,2.3939694609319266,2.4970256207179395,2.051799962186205,2.0745584214469526,19.563084364837792,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p022758459_T8_piecewise_mccormick.json
0.0372759372031494,1308.8598539655989,2.127606215365571,2.2113630357132994,1.8320442305795261,1.8693201677826756,10.175969636029027,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p037275937_T8_piecewise_mccormick.json
0.061054022965853265,1062.138797816478,1.9411622802786528,2.0053897054136516,1.662838077389089,1.7238921003549421,5.610631558483007,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p061054023_T8_piecewise_mccormick.json
0.1,802.6602959610777,1.7121305763872243,1.7481807656885695,1.5375857000228426,1.6375857000228426,2.105950656657269,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p1_T8_piecewise_mccormick.json
0.1637893706954064,604.2784071023905,1.5467086750946464,1.5818641644666875,1.4481394462185215,1.6119288169139279,0.8164432019025785,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p16378937_T8_piecewise_mccormick.json
0.2682695795279725,444.2923174246331,1.4190275499288574,1.443147499557004,1.4131666567978625,1.681436236325835,0.11175640119872518,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p26826958_T8_piecewise_mccormick.json
0.43939705607607904,426.5851486493601,1.4021227554630495,1.4249015335229165,1.4009628136531087,1.8403598697291876,0.054480838091147635,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p43939706_T8_piecewise_mccormick.json
0.7196856730011522,426.5851486493601,1.4021227554630495,1.4249015335229167,1.3856924548956222,2.1053781278967745,0.054480838091147635,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_0p71968567_T8_piecewise_mccormick.json
1.1787686347935866,382.19835487228045,1.3616065155725672,1.3836939960710823,1.3836939960710823,2.562462630864669,0.0,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_1p1787686_T8_piecewise_mccormick.json
1.9306977288832496,382.19835487228045,1.3616065155725672,1.3836939960710823,1.3836939960710823,3.3143917249543318,0.0,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_1p9306977_T8_piecewise_mccormick.json
3.1622776601683795,382.19835487228045,1.3616065155725672,1.3836939960710823,1.3836939960710823,4.545971656239462,0.0,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_3p1622777_T8_piecewise_mccormick.json
10.0,382.19835487228045,1.3616065155725672,1.3836939960710823,1.3836939960710823,11.383693996071083,0.0,1.0,8,10,ok,optimal,results\base_case\dro\poa_worst_case,results\base_case\dro\poa_worst_case\dro_poa_eta_10_T8_piecewise_mccormick.json
