scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,residual_demand,next_generation_capacity,next_demand,target_bid_W1_B1
0,0,W1,0.3836257346508193,0.37535180604492807,0.7119052594466051,0.33438804968568814,0.39145504468676107,0.01
0,1,W1,0.39145504468676107,0.3343880496856882,0.7627158789529613,0.3508979014103955,0.3478658014734004,0.01
0,2,W1,0.3478658014734004,0.3508979014103954,0.7042315162833712,0.4343472778275758,0.29968379204296985,0.01
0,3,W1,0.29968379204296985,0.43434727782757576,0.5704254973026847,0.41398647749985135,0.4294900424685778,0.01
0,4,W1,0.4294900424685778,0.4139864774998513,0.7140347071952552,0.4342587838356447,0.460113402021694,0.01
0,5,W1,0.460113402021694,0.4342587838356446,0.7213158473254815,0.38331692388195987,0.46354138645638354,0.01
0,6,W1,0.46354138645638354,0.3833169238819598,0.778573482041199,0.4516354883224616,0.49221012993091406,0.01
0,7,W1,0.49221012993091406,0.45163548832246164,0.7330533338134942,0.501868036513437,0.4731153222524402,0.01
0,8,W1,0.4731153222524402,0.5018680365134368,0.6618219904130138,0.4790910602646984,0.4832506826791929,0.01
0,9,W1,0.4832506826791929,0.47909106026469833,0.6955089542957323,0.4891009229948626,0.4526620498042269,0.01
0,10,W1,0.4526620498042269,0.4891009229948624,0.6561392936620267,0.5151701037983767,0.4528237528495903,0.01
0,11,W1,0.4528237528495903,0.5151701037983767,0.6286389621541468,0.5166430571482834,0.4531577822735416,0.01
0,12,W1,0.4531577822735416,0.5166430571482834,0.6273905308008508,0.5952387817716784,0.526847050766137,0.01
0,13,W1,0.526847050766137,0.5952387817716784,0.6132863356290569,0.6317847682972504,0.5107470097406398,0.01
0,14,W1,0.5107470097406398,0.6317847682972505,0.5593876626800411,0.6469113977862176,0.5533895042245112,0.01
0,15,W1,0.5533895042245112,0.6469113977862175,0.5834244053454667,0.6361113647683097,0.5954322625845829,0.01
0,16,W1,0.5954322625845829,0.6361113647683095,0.6343985752678342,0.537963977781155,0.46457882897380653,0.01
0,17,W1,0.46457882897380653,0.5379639777811549,0.6155100816213108,0.5099282089044626,0.3087546099416228,0.01
0,18,W1,0.3087546099416228,0.5099282089044627,0.4987807972802824,0.4659515844557217,0.325827921725136,0.01
0,19,W1,0.325827921725136,0.4659515844557216,0.5614761901059803,0.47439548722268043,0.427306103005296,0.01
0,20,W1,0.427306103005296,0.4743954872226802,0.647904341478233,0.4382321542328992,0.34741795200157627,0.01
0,21,W1,0.34741795200157627,0.43823215423289896,0.6111726209056544,0.4210670007864094,0.2803145024862253,0.01
0,22,W1,0.2803145024862253,0.42106700078640935,0.5663060220088614,0.39913338770638135,0.3158490551172977,0.01
0,23,W1,0.3158490551172977,0.39913338770638124,0.6229724832703837,0.3753518060449282,0.3836257346508193,0.01
1,0,W1,0.5035882577590596,0.402460097067234,0.7959099951925468,0.38775543184940203,0.5143849791085086,0.01
1,1,W1,0.5143849791085086,0.3877554318494019,0.8216560770736442,0.38303131176083055,0.4839338058343764,0.01
1,2,W1,0.4839338058343764,0.3830313117608305,0.7980443787401119,0.39251383974433607,0.5973343193273446,0.01
1,3,W1,0.5973343193273446,0.392513839744336,0.8945772766240305,0.39528438936090804,0.5963282702538898,0.01
1,4,W1,0.5963282702538898,0.3952843893609081,0.8906928354537458,0.387497951603383,0.6426767971296512,0.01
1,5,W1,0.6426767971296512,0.3874979516033829,0.9425176238739904,0.40799199058096935,0.7159443742397193,0.01
1,6,W1,0.7159443742397193,0.4079919905809694,0.9896471762472063,0.4305339223329285,0.7128464259694374,0.01
1,7,W1,0.7128464259694374,0.43053392233292853,0.9628243757257082,0.4310782443227145,0.6950434928587554,0.01
1,8,W1,0.6950434928587554,0.4310782443227146,0.9455130565085951,0.47641274533643924,0.6415756325958842,0.01
1,9,W1,0.6415756325958842,0.4764127453364391,0.8471681173702119,0.4915605956820933,0.616412431162651,0.01
1,10,W1,0.616412431162651,0.49156059568209326,0.8074481034059192,0.5061544270817357,0.5872000980777948,0.01
1,11,W1,0.5872000980777948,0.5061544270817359,0.7645097549610905,0.5312415513913558,0.6337969389282239,0.01
1,12,W1,0.6337969389282239,0.5312415513913556,0.7816980205482437,0.5447692403978623,0.7020205283585352,0.01
1,13,W1,0.7020205283585352,0.5447692403978622,0.8314758621020889,0.5559912251817949,0.7440607264766096,0.01
1,14,W1,0.7440607264766096,0.5559912251817947,0.8590882419902547,0.5537870640949459,0.7636153441360918,0.01
1,15,W1,0.7636153441360918,0.5537870640949459,0.8798067031720682,0.5640850658055466,0.7298292104923058,0.01
1,16,W1,0.7298292104923058,0.5640850658055465,0.8371259010870533,0.5346563211540172,0.7142776097338661,0.01
1,17,W1,0.7142776097338661,0.5346563211540173,0.8537240193326302,0.4933214175791758,0.64284926711229,0.01
1,18,W1,0.64284926711229,0.4933214175791756,0.8304297636687427,0.47752727872727496,0.5900049140541862,0.01
1,19,W1,0.5900049140541862,0.4775272787272749,0.7975117876836781,0.42806404501753254,0.5319839116916553,0.01
1,20,W1,0.5319839116916553,0.4280640450175324,0.7954417695179062,0.44266587306830507,0.4989157416935719,0.01
1,21,W1,0.4989157416935719,0.44266587306830485,0.7488706287866458,0.43046137608236484,0.45086248852077637,0.01
1,22,W1,0.45086248852077637,0.4304613760823646,0.7166484314531808,0.4094596644896401,0.48652555440112605,0.01
1,23,W1,0.48652555440112605,0.40945966448964005,0.7724471947450037,0.40246009706723423,0.5035882577590596,0.01
2,0,W1,0.3608376867995675,0.25370609839735636,0.8195186166175035,0.281188074519196,0.3811973731312296,0.01
2,1,W1,0.3811973731312296,0.2811880745191959,0.8095048714919787,0.3321587755902988,0.3828384956367598,0.01
2,2,W1,0.3828384956367598,0.33215877559029877,0.7569813724179846,0.3539269820165838,0.48523765750878195,0.01
2,3,W1,0.48523765750878195,0.35392698201658385,0.8301417337332183,0.35064724926654434,0.509619239226768,0.01
2,4,W1,0.509619239226768,0.3506472492665444,0.8565382095369067,0.37472606791630914,0.5629102284076254,0.01
2,5,W1,0.5629102284076254,0.374726067916309,0.8810882064286809,0.3533368056476514,0.6414173560281496,0.01
2,6,W1,0.6414173560281496,0.3533368056476513,0.9775695105624868,0.38421003093541006,0.6250511189029319,0.01
2,7,W1,0.6250511189029319,0.38421003093541006,0.9294378854122326,0.4012291349615023,0.6726478882438582,0.01
2,8,W1,0.6726478882438582,0.40122913496150225,0.9561240176047944,0.4186854431850379,0.5801157988035648,0.01
2,9,W1,0.5801157988035648,0.41868544318503786,0.8506316887678311,0.4819247634909839,0.5005551037235418,0.01
2,10,W1,0.5005551037235418,0.48192476349098395,0.7087685271461109,0.4286195605775143,0.48888550731288694,0.01
2,11,W1,0.48888550731288694,0.42861956057751427,0.754341993098721,0.47768905586136495,0.528329553342597,0.01
