scenario_id,time_id,generator_name,demand,previous_demand,next_demand,total_wind_generation_capacity,previous_wind_generation_capacity,next_wind_generation_capacity,residual_demand,previous_residual_demand,next_residual_demand,total_demand_over_horizon,total_wind_over_horizon,total_residual_over_horizon,target_bid_G2_B1,target_bid_G2_B2
0,0,G2,0.3514616533699638,0.25335493858463476,0.36395110937230424,0.1048792412706235,0.1003146195093852,0.0785874562828404,0.6891672493228257,0.6332343818352195,0.7168414487100819,0.4876972975138782,0.07957909287853733,0.7802284946213093,30.0,40.0
0,1,G2,0.36395110937230424,0.3514616533699638,0.352367404367207,0.0785874562828404,0.1048792412706235,0.11665205213492597,0.7168414487100819,0.6891672493228257,0.6807114574256534,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,2,G2,0.352367404367207,0.36395110937230424,0.39598813874219935,0.11665205213492597,0.0785874562828404,0.07995684235031886,0.6807114574256534,0.7168414487100819,0.7351991900387863,0.4876972975138782,0.07957909287853733,0.7802284946213093,30.0,40.0
0,3,G2,0.39598813874219935,0.352367404367207,0.446135689429205,0.07995684235031886,0.11665205213492597,0.10252528544344212,0.7351991900387863,0.6807114574256534,0.7483125744523565,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,4,G2,0.446135689429205,0.39598813874219935,0.5044516318407649,0.10252528544344212,0.07995684235031886,0.13311766467324684,0.7483125744523565,0.7351991900387863,0.7602365332252241,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,5,G2,0.5044516318407649,0.446135689429205,0.5484750350597704,0.13311766467324684,0.10252528544344212,0.10505804944747853,0.7602365332252241,0.7483125744523565,0.8083632468848395,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,6,G2,0.5484750350597704,0.5044516318407649,0.5825356840880843,0.10505804944747853,0.13311766467324684,0.106104914767714,0.8083632468848395,0.7602365332252241,0.8281933920673238,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,7,G2,0.5825356840880843,0.5484750350597704,0.534751827213716,0.106104914767714,0.10505804944747853,0.12864690195816367,0.8281933920673238,0.8083632468848395,0.782009086097339,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,8,G2,0.534751827213716,0.5825356840880843,0.4870395566772798,0.12864690195816367,0.106104914767714,0.13845398428555764,0.782009086097339,0.8281933920673238,0.745608409821099,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,9,G2,0.4870395566772798,0.534751827213716,0.4396763021004639,0.13845398428555764,0.12864690195816367,0.14274264692376196,0.745608409821099,0.782009086097339,0.7136398890489387,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,10,G2,0.4396763021004639,0.4870395566772798,0.46931457895236794,0.14274264692376196,0.13845398428555764,0.1562947491050555,0.7136398890489387,0.745608409821099,0.7212267559946629,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,11,G2,0.46931457895236794,0.4396763021004639,0.5175638136338633,0.1562947491050555,0.14274264692376196,0.1737043137132584,0.7212267559946629,0.7136398890489387,0.7371360724929986,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
0,12,G2,0.5175638136338633,0.46931457895236794,0.5696284456863451,0.1737043137132584,0.1562947491050555,0.18438054492512534,0.7371360724929986,0.7212267559946629,0.7605063871428883,0.4876972975138782,0.07957909287853733,0.7802284946213093,49.99,49.99
