scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,total_generation_capacity,residual_demand,previous_generation_capacity,previous_demand,next_generation_capacity,next_demand,own_generation_capacity,previous_own_generation_capacity,next_own_generation_capacity,target_bid_W3_B1
0,0,W3,0.37620648306755033,0.1492293363710855,0.1492293363710857,0.6715091406680447,0.14496705820440903,0.28398428865508507,0.12467902158531459,0.3879468113628569,0.16018918577206412,0.15143423955275556,0.1632430767336789,0.5
0,1,W3,0.3879468113628569,0.1246790215853145,0.12467902158531459,0.6969913560710566,0.1492293363710857,0.37620648306755033,0.16022235996253323,0.3770579063849025,0.1632430767336789,0.16018918577206412,0.23033717973284112,0.5
0,2,W3,0.3770579063849025,0.16022235996253323,0.16022235996253323,0.6637231047465859,0.12467902158531459,0.3879468113628569,0.12595770460495234,0.41806223371099316,0.23033717973284112,0.1632430767336789,0.1737730791493346,0.5
0,3,W3,0.41806223371099316,0.12595770460495226,0.12595770460495234,0.7138950399791171,0.16022235996253323,0.3770579063849025,0.14703129783638894,0.4652018936097626,0.1737730791493346,0.23033717973284112,0.1576614504140875,0.5
0,4,W3,0.4652018936097626,0.147031297836389,0.14703129783638894,0.7259697555513035,0.12595770460495234,0.41806223371099316,0.17559735147201616,0.5200199984682615,0.1576614504140875,0.1737730791493346,0.22981149392621006,0.5
0,5,W3,0.5200199984682615,0.17559735147201616,0.17559735147201616,0.736949256047595,0.14703129783638894,0.4652018936097626,0.14939630095831694,0.561402842234309,0.22981149392621006,0.1576614504140875,0.2401083119726757,0.5
0,6,W3,0.561402842234309,0.14939630095831685,0.14939630095831694,0.7812640081006617,0.17559735147201616,0.5200199984682615,0.15037382580731573,0.593420505891452,0.2401083119726757,0.22981149392621006,0.2529941865429351,0.5
0,7,W3,0.593420505891452,0.1503738258073155,0.15037382580731573,0.7995234715070632,0.14939630095831694,0.561402842234309,0.17142271547682686,0.5485027635321452,0.2529941865429351,0.2401083119726757,0.22845019800829658,0.5
0,8,W3,0.5485027635321452,0.17142271547682672,0.17142271547682686,0.7569972753018096,0.15037382580731573,0.593420505891452,0.18058021308984057,0.5036523137041242,0.22845019800829658,0.2529941865429351,0.1777841668620847,0.5
0,9,W3,0.5036523137041242,0.18058021308984043,0.18058021308984057,0.7234797790697927,0.17142271547682686,0.5485027635321452,0.18458481064100773,0.4591299455752163,0.1777841668620847,0.22845019800829658,0.20697578736814473,0.5
0,10,W3,0.4591299455752163,0.18458481064100765,0.18458481064100773,0.6940433816140824,0.18058021308984057,0.5036523137041242,0.1972392719000774,0.4869904945281357,0.20697578736814473,0.1777841668620847,0.2312286305647124,0.5
0,11,W3,0.4869904945281357,0.1972392719000773,0.1972392719000774,0.7010293173240766,0.18458481064100773,0.4591299455752163,0.21349569159973658,0.5323457009560135,0.2312286305647124,0.20697578736814473,0.20613337398362416,0.5
0,12,W3,0.5323457009560135,0.21349569159973644,0.21349569159973658,0.715678508227571,0.1972392719000774,0.4869904945281357,0.22346476890273426,0.5812874541241204,0.20613337398362416,0.2312286305647124,0.20466277890760878,0.5
0,13,W3,0.5812874541241204,0.22346476890273426,0.22346476890273426,0.737197735707694,0.21349569159973658,0.5323457009560135,0.24659938639199466,0.5993616955610577,0.20466277890760878,0.20613337398362416,0.22019948778690715,0.5
0,14,W3,0.5993616955610577,0.24659938639199466,0.24659938639199466,0.7304728686361436,0.22346476890273426,0.5812874541241204,0.24635888362838462,0.6011117242439146,0.22019948778690715,0.20466277890760878,0.1959724230176983,0.5
0,15,W3,0.6011117242439146,0.2463588836283844,0.24635888362838462,0.7316925894962202,0.24659938639199466,0.5993616955610577,0.21655485648376596,0.5748166063890945,0.1959724230176983,0.22019948778690715,0.19894069167880143,0.5
0,16,W3,0.5748166063890945,0.21655485648376574,0.21655485648376596,0.7385700712673569,0.24635888362838462,0.6011117242439146,0.2088903217529997,0.5162575865268771,0.19894069167880143,0.1959724230176983,0.20034222126630108,0.5
0,17,W3,0.5162575865268771,0.20889032175299962,0.2088903217529997,0.7096065808746331,0.21655485648376596,0.5748166063890945,0.22239106597398617,0.4995473934098657,0.20034222126630108,0.19894069167880143,0.19316901322056526,0.5
0,18,W3,0.4995473934098657,0.22239106597398597,0.22239106597398617,0.6895094947142089,0.2088903217529997,0.5162575865268771,0.16631701383113454,0.47213548490413926,0.19316901322056526,0.20034222126630108,0.1650352606343331,0.5
0,19,W3,0.47213548490413926,0.16631701383113448,0.16631701383113454,0.7155378464756201,0.22239106597398617,0.4995473934098657,0.15266763811833436,0.34463134221496877,0.1650352606343331,0.19316901322056526,0.17860586802638959,0.5
0,20,W3,0.34463134221496877,0.1526676381183342,0.15266763811833436,0.6501817124715696,0.16631701383113454,0.47213548490413926,0.16475586287447347,0.2782607992192805,0.17860586802638959,0.1650352606343331,0.19784587990699973,0.5
