scenario_id,time_id,generator_name,demand,total_wind_generation_capacity,total_generation_capacity,residual_demand,next_generation_capacity,next_demand,own_generation_capacity,next_own_generation_capacity,target_bid_G1_B1,target_bid_G1_B2
0,0,G1,0.15768882855591793,0.49096300654671754,0.49096300654671804,0.46440071273888583,0.423257112422305,0.13446091388773734,0.0,0.0,10.0,20.0
0,1,G1,0.13446091388773734,0.4232571124223045,0.423257112422305,0.5085979418809696,0.4908520111540058,0.14270780302895136,0.0,0.0,10.0,20.0
0,2,G1,0.14270780302895136,0.4908520111540058,0.4908520111540058,0.45467572181256083,0.4665930910144699,0.2028081620463698,0.0,0.0,10.0,20.0
0,3,G1,0.2028081620463698,0.46659309101447016,0.4665930910144699,0.5153734643458603,0.4936359896076988,0.25672384996589614,0.0,0.0,29.99,29.99
0,4,G1,0.25672384996589614,0.49363598960769894,0.4936359896076988,0.5269875853607157,0.5092601656470312,0.3368802810573287,0.0,0.0,29.99,29.99
0,5,G1,0.3368802810573287,0.5092601656470315,0.5092601656470312,0.5658290661068855,0.4482551954631427,0.41320368290260023,0.0,0.0,29.99,29.99
0,6,G1,0.41320368290260023,0.44825519546314246,0.4482551954631427,0.6694162787129538,0.4619034345656749,0.45994696265519114,0.0,0.0,29.99,29.99
0,7,G1,0.45994696265519114,0.4619034345656749,0.4619034345656749,0.688084512138298,0.48537188462400194,0.4291888469860891,0.0,0.0,29.99,29.99
0,8,G1,0.4291888469860891,0.48537188462400227,0.48537188462400194,0.6473190267091838,0.45922900112651993,0.38591394854809036,0.0,0.0,29.99,29.99
0,9,G1,0.38591394854809036,0.45922900112651976,0.45922900112651993,0.6418916527691226,0.49012968594144724,0.3351705490444096,0.0,0.0,29.99,29.99
0,10,G1,0.3351705490444096,0.49012968594144707,0.49012968594144724,0.5814992605587926,0.6760077191022315,0.32935843843976714,0.0,0.0,29.99,29.99
0,11,G1,0.32935843843976714,0.6760077191022316,0.6760077191022315,0.4145397638765447,0.43147307307760996,0.41541559363800634,0.0,0.0,29.99,29.99
0,12,G1,0.41541559363800634,0.4314730730776098,0.43147307307760996,0.6855965268937105,0.46815194430118273,0.48548979803291914,0.0,0.0,29.99,29.99
0,13,G1,0.48548979803291914,0.46815194430118257,0.46815194430118273,0.6993474121755093,0.5353009779414437,0.5337558527142141,0.0,0.0,29.99,29.99
0,14,G1,0.5337558527142141,0.5353009779414433,0.5353009779414437,0.6720553811447347,0.6337273888006715,0.47086878462401177,0.0,0.0,29.99,29.99
0,15,G1,0.47086878462401177,0.6337273888006713,0.6337273888006715,0.5444322718771296,0.694276987334861,0.4751094641043417,0.0,0.0,29.99,29.99
0,16,G1,0.4751094641043417,0.6942769873348604,0.694276987334861,0.49406714882982367,0.7233284990296921,0.39794869192447835,0.0,0.0,10.0,20.0
0,17,G1,0.39794869192447835,0.723328499029692,0.7233284990296921,0.4179770772501773,0.5389123005420807,0.30143201626285104,0.0,0.0,10.0,20.0
0,18,G1,0.30143201626285104,0.5389123005420806,0.5389123005420807,0.5165609119199404,0.5166436379824386,0.23328127187094033,0.0,0.0,29.99,29.99
0,19,G1,0.23328127187094033,0.5166436379824385,0.5166436379824386,0.49142303764777673,0.35238324040565316,0.20132840926799375,0.0,0.0,29.99,29.99
0,20,G1,0.20132840926799375,0.3523832404056528,0.35238324040565316,0.6146474496246613,0.29139525948370815,0.15710523029086873,0.0,0.0,29.99,29.99
0,21,G1,0.15710523029086873,0.29139525948370837,0.29139525948370815,0.639182545100997,0.29792295321665924,0.14693836529495247,0.0,0.0,29.99,29.99
0,22,G1,0.14693836529495247,0.29792295321665935,0.29792295321665924,0.6267870861734458,0.2752035963934498,0.13171557182209484,0.0,0.0,29.99,29.99
